degree,HoursWorked,HoursRelax
HIGH SCHOOL,48,2
HIGH SCHOOL,40,6
JUNIOR COLLEGE,40,5
HIGH SCHOOL,40,3
GRADUATE,52,4
HIGH SCHOOL,27,5
GRADUATE,40,3
HIGH SCHOOL,68,4
LT HIGH SCHOOL,40,NA
HIGH SCHOOL,40,12
HIGH SCHOOL,15,4
LT HIGH SCHOOL,4,4
JUNIOR COLLEGE,46,3
HIGH SCHOOL,40,0
HIGH SCHOOL,70,6
HIGH SCHOOL,40,1
LT HIGH SCHOOL,32,3
HIGH SCHOOL,30,4
JUNIOR COLLEGE,60,2
HIGH SCHOOL,48,2
HIGH SCHOOL,36,3
LT HIGH SCHOOL,82,1
HIGH SCHOOL,32,6
LT HIGH SCHOOL,67,2
JUNIOR COLLEGE,40,1
HIGH SCHOOL,26,0
BACHELOR,40,3
HIGH SCHOOL,47,1
HIGH SCHOOL,50,3
LT HIGH SCHOOL,40,5
HIGH SCHOOL,40,2
LT HIGH SCHOOL,39,0
HIGH SCHOOL,15,12
HIGH SCHOOL,43,4
BACHELOR,50,5
HIGH SCHOOL,30,6
HIGH SCHOOL,40,5
HIGH SCHOOL,50,2
GRADUATE,40,2
GRADUATE,40,2
HIGH SCHOOL,42,3
HIGH SCHOOL,24,NA
BACHELOR,40,5
BACHELOR,40,6
HIGH SCHOOL,50,3
HIGH SCHOOL,40,1
HIGH SCHOOL,28,6
HIGH SCHOOL,40,2
HIGH SCHOOL,50,1
BACHELOR,15,2
HIGH SCHOOL,40,2
BACHELOR,40,5
HIGH SCHOOL,49,5
LT HIGH SCHOOL,80,4
HIGH SCHOOL,48,5
HIGH SCHOOL,42,0
HIGH SCHOOL,35,3
HIGH SCHOOL,40,0
HIGH SCHOOL,80,3
LT HIGH SCHOOL,56,4
HIGH SCHOOL,30,3
GRADUATE,60,0
JUNIOR COLLEGE,25,6
JUNIOR COLLEGE,40,5
HIGH SCHOOL,40,9
JUNIOR COLLEGE,13,NA
LT HIGH SCHOOL,36,2
HIGH SCHOOL,40,2
HIGH SCHOOL,65,13
HIGH SCHOOL,9,3
GRADUATE,40,3
LT HIGH SCHOOL,70,3
JUNIOR COLLEGE,37,6
JUNIOR COLLEGE,20,0
HIGH SCHOOL,32,2
HIGH SCHOOL,35,6
HIGH SCHOOL,8,7
JUNIOR COLLEGE,80,1
HIGH SCHOOL,40,4
HIGH SCHOOL,56,4
JUNIOR COLLEGE,45,1
LT HIGH SCHOOL,55,4
JUNIOR COLLEGE,30,2
BACHELOR,50,5
HIGH SCHOOL,25,7
HIGH SCHOOL,70,5
HIGH SCHOOL,12,10
HIGH SCHOOL,10,3
LT HIGH SCHOOL,52,2
HIGH SCHOOL,50,3
HIGH SCHOOL,80,4
BACHELOR,55,3
GRADUATE,55,8
LT HIGH SCHOOL,70,10
HIGH SCHOOL,40,6
HIGH SCHOOL,9,4
HIGH SCHOOL,40,8
HIGH SCHOOL,40,3
BACHELOR,40,5
JUNIOR COLLEGE,50,4
JUNIOR COLLEGE,40,0
HIGH SCHOOL,9,8
GRADUATE,45,2
HIGH SCHOOL,24,2
JUNIOR COLLEGE,36,2
LT HIGH SCHOOL,9,NA
HIGH SCHOOL,30,4
BACHELOR,70,4
LT HIGH SCHOOL,4,4
LT HIGH SCHOOL,70,0
HIGH SCHOOL,52,0
HIGH SCHOOL,37,3
BACHELOR,18,5
JUNIOR COLLEGE,60,3
HIGH SCHOOL,45,2
HIGH SCHOOL,22,6
GRADUATE,40,2
HIGH SCHOOL,40,4
LT HIGH SCHOOL,9,6
LT HIGH SCHOOL,35,3
HIGH SCHOOL,45,4
HIGH SCHOOL,50,3
JUNIOR COLLEGE,89,14
LT HIGH SCHOOL,55,2
HIGH SCHOOL,50,4
HIGH SCHOOL,40,1
HIGH SCHOOL,20,6
JUNIOR COLLEGE,60,3
HIGH SCHOOL,80,2
HIGH SCHOOL,35,5
LT HIGH SCHOOL,35,4
BACHELOR,50,4
HIGH SCHOOL,84,12
BACHELOR,16,1
HIGH SCHOOL,60,2
BACHELOR,32,4
LT HIGH SCHOOL,33,3
HIGH SCHOOL,60,4
BACHELOR,40,4
BACHELOR,40,6
BACHELOR,40,6
HIGH SCHOOL,40,6
BACHELOR,40,3
JUNIOR COLLEGE,46,4
GRADUATE,40,6
LT HIGH SCHOOL,25,7
HIGH SCHOOL,40,4
JUNIOR COLLEGE,50,0
LT HIGH SCHOOL,40,4
LT HIGH SCHOOL,43,2
HIGH SCHOOL,35,2
LT HIGH SCHOOL,24,6
BACHELOR,16,6
LT HIGH SCHOOL,50,4
HIGH SCHOOL,20,8
LT HIGH SCHOOL,50,7
BACHELOR,10,5
HIGH SCHOOL,40,5
HIGH SCHOOL,38,NA
HIGH SCHOOL,40,NA
LT HIGH SCHOOL,38,6
HIGH SCHOOL,40,3
BACHELOR,49,5
HIGH SCHOOL,40,6
